"Stage","SeqNr","Timestamp","Phase","Width","Vprim"
A,903,7445001,0,144,2291
A,904,7445130,1,147,2039
A,905,7451913,0,143,2420
A,906,7452043,1,146,2050
A,907,7458825,0,144,2431
A,908,7458957,1,144,2075
A,909,7465736,0,145,2418
A,910,7465870,1,143,2016
A,911,7472649,0,143,2310
A,912,7472780,1,145,2034
A,913,7479560,0,144,2397
A,914,7479693,1,143,2032
A,915,7486473,0,144,2440
A,916,7486606,1,143,2043
A,917,7493386,0,144,2413
A,918,7493518,1,144,2023
A,919,7500298,0,144,2237
A,920,7500428,1,146,2023
A,921,7507209,0,144,2465
A,922,7507342,1,143,2023
A,923,7514121,0,144,2361
A,924,7514256,1,141,2012
A,925,7521034,0,144,2443
A,926,7521167,1,143,2018
A,927,7527947,0,143,2409
A,928,7528079,1,143,2037
A,929,7534860,0,144,2388
A,930,7534994,1,142,1996
A,931,7541773,0,144,2454
A,932,7541904,1,145,2012
A,933,7548685,0,144,2427
A,934,7548818,1,143,2018
A,935,7555597,0,144,2404
A,936,7555729,1,144,2034
A,937,7562511,0,143,2244
A,938,7562641,1,145,2034
A,939,7569424,0,143,2420
A,940,7569552,1,147,2039
A,941,7576337,0,144,2395
A,942,7576469,1,144,2007
A,943,7583250,0,144,2506
A,944,7583381,1,146,2023
A,945,7590164,0,143,2413
A,946,7590295,1,144,2030
A,947,7597076,0,144,2357
A,948,7597206,1,146,2037
A,949,7603989,0,143,2436
A,950,7604121,1,144,2034
A,951,7610900,0,144,2454
A,952,7611035,1,141,2018
A,953,7617811,0,144,2436
A,954,7617943,1,144,2018
A,955,7624724,0,143,2422
A,956,7624855,1,144,2025
A,957,7631637,0,143,2384
A,958,7631769,1,143,2028
A,959,7638549,0,144,2413
A,960,7638681,1,144,2034
A,961,7645461,0,145,2472
A,962,7645593,1,145,2034
A,963,7652374,0,144,2409
A,964,7652506,1,144,2025
A,965,7659286,0,144,2418
A,966,7659418,1,145,2025
A,967,7666198,0,144,2483
A,968,7666331,1,143,2025
A,969,7673111,0,144,2416
A,970,7673244,1,143,2028
A,971,7680022,0,145,2452
A,972,7680156,1,142,2032
A,973,7686935,0,144,2319
A,974,7687067,1,144,2055
A,975,7693848,0,144,2404
A,976,7693980,1,144,2018
A,977,7700760,0,144,2397
A,978,7700889,1,147,2030
A,979,7707673,0,144,2456
A,980,7707803,1,146,2046
A,981,7714585,0,144,2443
A,982,7714718,1,143,2023
A,983,7721498,0,144,2533
A,984,7721630,1,144,2165
A,985,7728411,0,144,2339
A,986,7728543,1,144,2028
A,987,7735324,0,143,2422
A,988,7735455,1,144,2028
A,989,7742235,0,144,2407
A,990,7742370,1,141,2014
A,991,7749146,0,144,2431
A,992,7749278,1,144,2039
A,993,7756057,0,144,2528
A,994,7756189,1,144,2039
A,995,7762969,0,144,2350
A,996,7763102,1,143,2023
A,997,7769883,0,143,2346
A,998,7770013,1,145,2030
A,999,7776795,0,143,2438
A,1000,7776926,1,144,2032
A,1001,7783707,0,144,2382
A,1002,7783838,1,145,2007
A,1003,7790619,0,144,2413
A,1004,7790751,1,144,2032
A,1005,7797531,0,144,2458
A,1006,7797663,1,144,2082
A,1007,7804444,0,144,2461
A,1008,7804575,1,145,2016
A,1009,7811357,0,144,2388
A,1010,7811492,1,141,2007
A,1011,7818270,0,144,2282
A,1012,7818402,1,143,2043
A,1013,7825183,0,143,2391
A,1014,7825314,1,145,2039
A,1015,7832096,0,144,2564
A,1016,7832231,1,141,2016
A,1017,7839010,0,143,2463
A,1018,7839141,1,145,2037
A,1019,7845923,0,144,2474
A,1020,7846055,1,144,2030
A,1021,7852835,0,144,2427
A,1022,7852970,1,140,1998
A,1023,7859746,0,144,2397
A,1024,7859880,1,142,2018
A,1025,7866659,0,143,2413
A,1026,7866789,1,146,2037
A,1027,7873571,0,143,2332
A,1028,7873703,1,143,2034
A,1029,7880482,0,144,2407
A,1030,7880615,1,143,2025
A,1031,7887394,0,144,2393
A,1032,7887523,1,147,2032
A,1033,7894305,0,143,2255
A,1034,7894437,1,144,2018
A,1035,7901216,0,144,2298
A,1036,7901348,1,144,2032
A,1037,7908128,0,144,2434
A,1038,7908259,1,145,2018
A,1039,7915041,0,143,2402
A,1040,7915172,1,144,2032
A,1041,7921951,0,144,2400
A,1042,7922083,1,144,2025
A,1043,7928862,0,144,2420
A,1044,7928995,1,143,2023
A,1045,7935773,0,144,2429
A,1046,7935905,1,144,2068
A,1047,7942685,0,144,2262
A,1048,7942817,1,144,2034
A,1049,7949596,0,144,2549
A,1050,7949727,1,145,2032
A,1051,7956506,0,144,2393
A,1052,7956637,1,145,2023
A,1053,7963418,0,143,2397
A,1054,7963550,1,143,2034
A,1055,7970329,0,144,2454
A,1056,7970459,1,146,2018
A,1057,7977241,0,143,2280
A,1058,7977370,1,146,2039
A,1059,7984152,0,144,2492
A,1060,7984284,1,144,2095
A,1061,7991064,0,144,2397
A,1062,7991196,1,144,2046
A,1063,7997976,0,144,2323
A,1064,7998111,1,141,2007
A,1065,8004887,0,144,2461
A,1066,8005020,1,143,2023
A,1067,8011798,0,144,2434
A,1068,8011931,1,143,2030
A,1069,8018709,0,144,2413
A,1070,8018844,1,141,2005
A,1071,8025620,0,144,2402
A,1072,8025755,1,141,2014
A,1073,8032531,0,145,2494
A,1074,8032661,1,147,2034
A,1075,8039444,0,144,2434
A,1076,8039578,1,142,2009
A,1077,8046356,0,144,2316
A,1078,8046490,1,141,2014
A,1079,8053267,0,144,2485
A,1080,8053399,1,144,2034
A,1081,8060177,0,144,2411
A,1082,8060309,1,144,2041
A,1083,8067089,0,144,2224
A,1084,8067220,1,145,2050
A,1085,8074001,0,144,2348
A,1086,8074133,1,144,2018
A,1087,8080912,0,144,2404
A,1088,8081041,1,147,2030
A,1089,8087824,0,143,2407
A,1090,8087955,1,144,2014
A,1091,8094735,0,144,2416
A,1092,8094867,1,144,2018
A,1093,8101647,0,144,2452
A,1094,8101778,1,145,2039
A,1095,8108558,0,144,2449
A,1096,8108689,1,145,2043
A,1097,8115470,0,144,2465
A,1098,8115601,1,145,2028
A,1099,8122382,0,144,2540
A,1100,8122514,1,144,2025
A,1101,8129294,0,144,2361
A,1102,8129426,1,143,2032
A,1103,8136205,0,144,2400
A,1104,8136339,1,142,2028
A,1105,8143117,0,144,2447
A,1106,8143252,1,141,2009
A,1107,8150028,0,144,2411
A,1108,8150161,1,143,2014
A,1109,8156940,0,144,2237
A,1110,8157074,1,142,2016
A,1111,8163852,0,144,2400
A,1112,8163985,1,143,2039
A,1113,8170764,0,144,2325
A,1114,8170895,1,145,2039
A,1115,8177677,0,143,2411
A,1116,8177809,1,143,2039
A,1117,8184588,0,144,2416
A,1118,8184720,1,144,2034
A,1119,8191500,0,144,2533
A,1120,8191632,1,144,2059
A,1121,8198413,0,144,2454
A,1122,8198542,1,147,2028
A,1123,8205325,0,144,2319
A,1124,8205457,1,144,2030
A,1125,8212237,0,144,2393
A,1126,8212372,1,141,2014
A,1127,8219150,0,143,2404
A,1128,8219282,1,144,2037
A,1129,8226063,0,143,2413
A,1130,8226195,1,143,2032
A,1131,8232975,0,143,2262
A,1132,8233107,1,144,2032
A,1133,8239886,0,143,2319
A,1134,8240020,1,141,2000
A,1135,8246797,0,143,2429
A,1136,8246928,1,145,2032
A,1137,8253709,0,144,2549
A,1138,8253841,1,144,2032
A,1139,8260622,0,144,2447
A,1140,8260754,1,144,2034
A,1141,8267535,0,144,2370
A,1142,8267665,1,146,2068
A,1143,8274447,0,144,2436
A,1144,8274581,1,142,2018
A,1145,8281358,0,144,2411
A,1146,8281490,1,143,2034
A,1147,8288270,0,144,2467
A,1148,8288401,1,145,2068
A,1149,8295183,0,143,2310
A,1150,8295315,1,144,2037
A,1151,8302096,0,144,2370
A,1152,8302226,1,146,2025
A,1153,8309009,0,144,2397
A,1154,8309138,1,147,2025
A,1155,8315922,0,144,2407
A,1156,8316055,1,143,2023
A,1157,8322836,0,144,2375
A,1158,8322968,1,144,2016
A,1159,8329749,0,143,2413
A,1160,8329881,1,144,2048
A,1161,8336661,0,144,2436
A,1162,8336791,1,146,2041
A,1163,8343575,0,144,2429
A,1164,8343706,1,145,2043
A,1165,8350488,0,144,2251
A,1166,8350620,1,144,2028
A,1167,8357401,0,144,2413
A,1168,8357536,1,141,2007
A,1169,8364314,0,144,2431
A,1170,8364447,1,143,2032
A,1171,8371228,0,144,2413
A,1172,8371362,1,141,2009
A,1173,8378141,0,144,2413
A,1174,8378275,1,142,2005
A,1175,8385054,0,144,2350
A,1176,8385185,1,145,2030
A,1177,8391966,0,144,2346
A,1178,8392099,1,143,2025
A,1179,8398879,0,143,2404
A,1180,8399011,1,144,2034
A,1181,8405792,0,144,2416
A,1182,8405922,1,146,2037
A,1183,8412705,0,143,2269
A,1184,8412836,1,145,2034
A,1185,8419617,0,144,2438
A,1186,8419750,1,143,2025
A,1187,8426529,0,144,2422
A,1188,8426662,1,143,2016
A,1189,8433442,0,143,2402
A,1190,8433574,1,144,2032
A,1191,8440355,0,144,2422
A,1192,8440487,1,144,2018
A,1193,8447268,0,144,2504
A,1194,8447401,1,143,1991
A,1195,8454182,0,144,2420
A,1196,8454314,1,144,2041
A,1197,8461095,0,144,2409
A,1198,8461227,1,144,2014
A,1199,8468006,0,144,2517
A,1200,8468137,1,145,2030
A,1201,8474917,0,144,2447
A,1202,8475052,1,141,2005
A,1203,8481829,0,144,2533
A,1204,8481960,1,145,2136
A,1205,8488741,0,144,2472
A,1206,8488873,1,144,2000
A,1207,8495653,0,144,2474
A,1208,8495786,1,143,2064
A,1209,8502566,0,143,2402
A,1210,8502695,1,146,2032
A,1211,8509476,0,144,2409
A,1212,8509607,1,145,2037
A,1213,8516387,0,144,2436
A,1214,8516520,1,143,2030
A,1215,8523298,0,144,2397
A,1216,8523429,1,145,1998
A,1217,8530210,0,144,2413
A,1218,8530343,1,143,2028
A,1219,8537123,0,143,2407
A,1220,8537251,1,147,2018
A,1221,8544035,0,144,2303
A,1222,8544164,1,147,2059
A,1223,8550947,0,145,2474
A,1224,8551080,1,144,2039
A,1225,8557862,0,144,2402
A,1226,8557995,1,143,2028
A,1227,8564777,0,144,2416
A,1228,8564912,1,141,2005
A,1229,8571690,0,144,2409
A,1230,8571823,1,143,2032
A,1231,8578604,0,144,2434
A,1232,8578736,1,144,2059
A,1233,8585517,0,144,2294
A,1234,8585652,1,141,2003
A,1235,8592430,0,144,2409
A,1236,8592562,1,144,2032
A,1237,8599344,0,144,2407
A,1238,8599478,1,142,2018
A,1239,8606257,0,144,2454
A,1240,8606391,1,142,2021
A,1241,8613168,0,144,2395
A,1242,8613301,1,143,2028
A,1243,8620080,0,144,2337
A,1244,8620213,1,143,2030
A,1245,8626991,0,144,2397
A,1246,8627122,1,144,2030
A,1247,8633902,0,144,2407
A,1248,8634034,1,143,2037
A,1249,8640812,0,144,2434
A,1250,8640943,1,145,2048
A,1251,8647723,0,144,2373
A,1252,8647855,1,144,2039
A,1253,8654634,0,143,2476
A,1254,8654765,1,145,2041
A,1255,8661545,0,143,2375
A,1256,8661677,1,144,2021
A,1257,8668457,0,144,2445
A,1258,8668590,1,143,2023
A,1259,8675368,0,144,2373
A,1260,8675497,1,147,2039
A,1261,8682280,0,143,2418
A,1262,8682412,1,143,2041
B,1233,8688922,0,145,2339
B,1234,8689056,1,143,1748
B,1235,8695833,0,145,2296
B,1236,8695971,1,140,1734
B,1237,8702745,0,145,2215
B,1238,8702877,1,145,1761
B,1239,8709658,0,144,2346
B,1240,8709793,1,142,1743
B,1241,8716571,0,145,2310
B,1242,8716704,1,145,1766
B,1243,8723486,0,145,2341
B,1244,8723619,1,145,1773
B,1245,8730400,0,145,2280
B,1246,8730533,1,145,1768
B,1247,8737312,0,145,2285
B,1248,8737447,1,143,1743
B,1249,8744224,0,145,2339
B,1250,8744359,1,143,1755
B,1251,8751136,0,145,2287
B,1252,8751271,1,143,1755
B,1253,8758049,0,145,2249
B,1254,8758186,1,140,1739
B,1255,8764961,0,145,2355
B,1256,8765096,1,143,1750
B,1257,8771874,0,146,2341
B,1258,8772012,1,140,1730
B,1259,8778788,0,144,2337
B,1260,8778924,1,141,1739
B,1261,8785700,0,145,2267
B,1262,8785833,1,145,1764
B,1263,8792613,0,145,2334
B,1264,8792748,1,142,1761
B,1265,8799525,0,145,2258
B,1266,8799660,1,143,1748
B,1267,8806438,0,145,2271
B,1268,8806573,1,143,1750
B,1269,8813351,0,145,2341
B,1270,8813485,1,143,1764
B,1271,8820264,0,144,2278
B,1272,8820398,1,143,1752
B,1273,8827175,0,145,2163
B,1274,8827309,1,143,1761
B,1275,8834086,0,145,2260
B,1276,8834219,1,144,1721
B,1277,8840996,0,145,2158
B,1278,8841133,1,141,1737
B,1279,8847907,0,145,2260
B,1280,8848042,1,143,1750
B,1281,8854818,0,145,2332
B,1282,8854954,1,142,1791
B,1283,8861729,0,145,2339
B,1284,8861866,1,140,1737
B,1285,8868640,0,145,2242
B,1286,8868775,1,143,1759
B,1287,8875552,0,144,2348
B,1288,8875685,1,144,1764
B,1289,8882463,0,145,2262
B,1290,8882600,1,140,1725
B,1291,8889375,0,145,2332
B,1292,8889512,1,140,1737
B,1293,8896286,0,145,2341
B,1294,8896419,1,145,1764
B,1295,8903198,0,145,2332
B,1296,8903334,1,142,1667
B,1297,8910110,0,144,2334
B,1298,8910244,1,143,1759
B,1299,8917021,0,145,2339
B,1300,8917156,1,143,1759
B,1301,8923933,0,145,2334
B,1302,8924068,1,143,1750
B,1303,8930845,0,145,2111
B,1304,8930982,1,141,1737
B,1305,8937758,0,144,2319
B,1306,8937890,1,145,1764
B,1307,8944670,0,145,2359
B,1308,8944803,1,144,1761
B,1309,8951583,0,144,2334
B,1310,8951719,1,141,1741
B,1311,8958494,0,145,2332
B,1312,8958629,1,143,1707
B,1313,8965407,0,144,2303
B,1314,8965540,1,144,1788
B,1315,8972319,0,145,2314
B,1316,8972452,1,144,1782
B,1317,8979232,0,145,2328
B,1318,8979367,1,142,1757
B,1319,8986144,0,145,2339
B,1320,8986281,1,141,1746
B,1321,8993056,0,145,2291
B,1322,8993192,1,142,1755
B,1323,8999968,0,145,2352
B,1324,9000103,1,142,1750
B,1325,9006878,0,145,2330
B,1326,9007010,1,145,1764
B,1327,9013789,0,145,2330
B,1328,9013925,1,142,1725
B,1329,9020701,0,145,2334
B,1330,9020837,1,142,1743
B,1331,9027613,0,145,2269
B,1332,9027749,1,142,1764
B,1333,9034525,0,145,2334
B,1334,9034662,1,141,1741
B,1335,9041437,0,145,2334
B,1336,9041574,1,141,1737
B,1337,9048350,0,145,2197
B,1338,9048484,1,143,1737
B,1339,9055261,0,145,2161
B,1340,9055397,1,142,1748
B,1341,9062173,0,144,2332
B,1342,9062306,1,144,1759
B,1343,9069084,0,145,2341
B,1344,9069217,1,145,1768
B,1345,9075995,0,145,2339
B,1346,9076130,1,143,1748
B,1347,9082907,0,145,2330
B,1348,9083042,1,142,1750
B,1349,9089819,0,145,2303
B,1350,9089952,1,144,1757
B,1351,9096730,0,145,2264
B,1352,9096865,1,142,1748
B,1353,9103640,0,145,2127
B,1354,9103778,1,140,1743
B,1355,9110552,0,144,2348
B,1356,9110686,1,143,1755
B,1357,9117461,0,145,2334
B,1358,9117597,1,142,1743
B,1359,9124371,0,145,2264
B,1360,9124506,1,143,1743
B,1361,9131282,0,145,2339
B,1362,9131417,1,142,1739
B,1363,9138193,0,145,2341
B,1364,9138330,1,140,1748
B,1365,9145103,0,145,2199
B,1366,9145238,1,143,1746
B,1367,9152016,0,144,2334
B,1368,9152151,1,142,1759
B,1369,9158927,0,145,2341
B,1370,9159064,1,141,1727
B,1371,9165839,0,145,2280
B,1372,9165975,1,141,1734
B,1373,9172751,0,145,2346
B,1374,9172886,1,142,1750
B,1375,9179662,0,145,2337
B,1376,9179799,1,141,1737
B,1377,9186574,0,144,2339
B,1378,9186706,1,145,1768
B,1379,9193485,0,144,2332
B,1380,9193619,1,143,1743
B,1381,9200396,0,145,2337
B,1382,9200532,1,142,1741
B,1383,9207308,0,145,2192
B,1384,9207441,1,144,1768
B,1385,9214220,0,145,2334
B,1386,9214355,1,143,1755
B,1387,9221133,0,144,2305
B,1388,9221267,1,143,1755
B,1389,9228046,0,144,2194
B,1390,9228182,1,141,1752
B,1391,9234959,0,145,2253
B,1392,9235094,1,142,1743
B,1393,9241872,0,145,2337
B,1394,9242007,1,143,1741
B,1395,9248786,0,144,2289
B,1396,9248921,1,142,1755
B,1397,9255698,0,145,2339
B,1398,9255835,1,141,1662
B,1399,9262610,0,145,2264
B,1400,9262744,1,143,1757
B,1401,9269521,0,145,2237
B,1402,9269655,1,144,1757
B,1403,9276433,0,145,2231
B,1404,9276568,1,142,1746
B,1405,9283346,0,145,2348
B,1406,9283481,1,142,1741
B,1407,9290258,0,145,2341
B,1408,9290395,1,140,1743
B,1409,9297170,0,145,2307
B,1410,9297305,1,142,1752
B,1411,9304082,0,145,2337
B,1412,9304215,1,145,1761
B,1413,9310995,0,145,2201
B,1414,9311132,1,140,1741
B,1415,9317907,0,145,2217
B,1416,9318042,1,142,1743
B,1417,9324819,0,144,2334
B,1418,9324954,1,142,1757
B,1419,9331731,0,145,2339
B,1420,9331866,1,142,1739
B,1421,9338645,0,144,2298
B,1422,9338777,1,145,1770
B,1423,9345559,0,144,2325
B,1424,9345694,1,142,1748
B,1425,9352472,0,145,2355
B,1426,9352607,1,142,1768
B,1427,9359386,0,145,2447
B,1428,9359521,1,142,1834
B,1429,9366299,0,145,2359
B,1430,9366434,1,143,1727
B,1431,9373212,0,145,2314
B,1432,9373348,1,141,1741
B,1433,9380123,0,145,2348
B,1434,9380258,1,142,1761
B,1435,9387035,0,144,2305
B,1436,9387170,1,142,1730
B,1437,9393947,0,145,2339
B,1438,9394082,1,142,1750
B,1439,9400860,0,145,2330
B,1440,9400996,1,141,1743
B,1441,9407772,0,145,2339
B,1442,9407908,1,142,1773
B,1443,9414683,0,145,2343
B,1444,9414817,1,144,1766
B,1445,9421595,0,145,2334
B,1446,9421728,1,145,1764
B,1447,9428508,0,145,2334
B,1448,9428643,1,142,1743
B,1449,9435420,0,145,2337
B,1450,9435553,1,145,1759
B,1451,9442333,0,145,2400
B,1452,9442468,1,143,1755
B,1453,9449247,0,144,2255
B,1454,9449382,1,142,1750
B,1455,9456159,0,145,2298
B,1456,9456294,1,143,1746
B,1457,9463073,0,145,2334
B,1458,9463207,1,144,1757
B,1459,9469986,0,145,2334
B,1460,9470123,1,141,1730
B,1461,9476899,0,144,2330
B,1462,9477034,1,142,1748
B,1463,9483812,0,145,2285
B,1464,9483947,1,142,1759
B,1465,9490726,0,145,2337
B,1466,9490862,1,141,1730
B,1467,9497639,0,145,2343
B,1468,9497775,1,142,1730
B,1469,9504553,0,145,2321
B,1470,9504688,1,143,1748
B,1471,9511465,0,145,2287
B,1472,9511602,1,140,1727
B,1473,9518378,0,144,2337
B,1474,9518510,1,145,1766
B,1475,9525289,0,145,2334
B,1476,9525426,1,141,1746
B,1477,9532201,0,145,2341
B,1478,9532337,1,142,1741
B,1479,9539114,0,145,2332
B,1480,9539249,1,142,1750
B,1481,9546028,0,145,2330
B,1482,9546165,1,140,1730
B,1483,9552941,0,145,2328
B,1484,9553077,1,142,1739
B,1485,9559854,0,145,2332
B,1486,9559991,1,141,1743
B,1487,9566768,0,145,2341
B,1488,9566902,1,143,1755
B,1489,9573682,0,144,2337
B,1490,9573817,1,142,1746
B,1491,9580595,0,145,2325
B,1492,9580728,1,145,1757
B,1493,9587509,0,145,2323
B,1494,9587644,1,142,1743
B,1495,9594422,0,145,2314
B,1496,9594555,1,145,1770
B,1497,9601335,0,145,2300
B,1498,9601468,1,145,1809
B,1499,9608248,0,145,2346
B,1500,9608385,1,141,1743
B,1501,9615161,0,145,2332
B,1502,9615297,1,142,1748
B,1503,9622075,0,144,2181
B,1504,9622210,1,142,1746
B,1505,9628988,0,145,2332
B,1506,9629125,1,141,1730
B,1507,9635902,0,145,2271
B,1508,9636036,1,144,1797
B,1509,9642816,0,145,2352
